# group,element,VR,keyword,VM,name
0000,0000,UL,CommandGroupLength,1,"Command Group Length"
0000,0001,UL,CommandLengthToEnd,1,"Command Length to End"
0000,0002,UI,AffectedSOPClassUID,1,"Affected SOP Class UID"
0000,0003,UI,RequestedSOPClassUID,1,"Requested SOP Class UID"
0000,0010,SH,CommandRecognitionCode,1,"Command Recognition Code"
0000,0100,US,CommandField,1,"Command Field"
0000,0110,US,MessageID,1,"Message ID"
0000,0120,US,MessageIDBeingRespondedTo,1,"Message ID Being Responded To"
0000,0200,AE,Initiator,1,"Initiator"
0000,0300,AE,Receiver,1,"Receiver"
0000,0400,AE,FindLocation,1,"Find Location"
0000,0600,AE,MoveDestination,1,"Move Destination"
0000,0700,US,Priority,1,"Priority"
0000,0800,US,CommandDataSetType,1,"Command Data Set Type"
0000,0850,US,NumberOfMatches,1,"Number of Matches"
0000,0860,US,ResponseSequenceNumber,1,"Response Sequence Number"
0000,0900,US,Status,1,"Status"
0000,0901,AT,OffendingElement,1-n,"Offending Element"
0000,0902,LO,ErrorComment,1,"Error Comment"
0000,0903,US,ErrorID,1,"Error ID"
0000,1000,UI,AffectedSOPInstanceUID,1,"Affected SOP Instance UID"
0000,1001,UI,RequestedSOPInstanceUID,1,"Requested SOP Instance UID"
0000,1002,US,EventTypeID,1,"Event Type ID"
0000,1005,AT,AttributeIdentifierList,1-n,"Attribute Identifier List"
0000,1008,US,ActionTypeID,1,"Action Type ID"
0000,1020,US,NumberOfRemainingSuboperations,1,"Number of Remaining Sub-operations"
0000,1021,US,NumberOfCompletedSuboperations,1,"Number of Completed Sub-operations"
0000,1022,US,NumberOfFailedSuboperations,1,"Number of Failed Sub-operations"
0000,1023,US,NumberOfWarningSuboperations,1,"Number of Warning Sub-operations"
0000,1030,AE,MoveOriginatorApplicationEntityTitle,1,"Move Originator Application Entity Title"
0000,1031,US,MoveOriginatorMessageID,1,"Move Originator Message ID"
0000,4000,LT,DialogReceiver,1,"Dialog Receiver"
0000,4010,LT,TerminalType,1,"Terminal Type"
0000,5010,SH,MessageSetID,1,"Message Set ID"
0000,5020,SH,EndMessageID,1,"End Message ID"
0000,5110,LT,DisplayFormat,1,"Display Format"
0000,5120,LT,PagePositionID,1,"Page Position ID"
0000,5130,CS,TextFormatID,1,"Text Format ID"
0000,5140,CS,NormalReverse,1,"Normal/Reverse"
0000,5150,CS,AddGrayScale,1,"Add Gray Scale"
0000,5160,CS,Borders,1,"Borders"
0000,5170,IS,Copies,1,"Copies"
0000,5180,CS,CommandMagnificationType,1,"Command Magnification Type"
0000,5190,CS,Erase,1,"Erase"
0000,51a0,CS,Print,1,"Print"
0000,51b0,US,Overlays,1-n,"Overlays"
0002,0000,UL,FileMetaInformationGroupLength,1,"File Meta Information Group Length"
0002,0001,OB,FileMetaInformationVersion,1,"File Meta Information Version"
0002,0002,UI,MediaStorageSOPClassUID,1,"Media Storage SOP Class UID"
0002,0003,UI,MediaStorageSOPInstanceUID,1,"Media Storage SOP Instance UID"
0002,0010,UI,TransferSyntaxUID,1,"Transfer Syntax UID"
0002,0012,UI,ImplementationClassUID,1,"Implementation Class UID"
0002,0013,SH,ImplementationVersionName,1,"Implementation Version Name"
0002,0016,AE,SourceApplicationEntityTitle,1,"Source Application Entity Title"
0002,0017,AE,SendingApplicationEntityTitle,1,"Sending Application Entity Title"
0002,0018,AE,ReceivingApplicationEntityTitle,1,"Receiving Application Entity Title"
0002,0100,UI,PrivateInformationCreatorUID,1,"Private Information Creator UID"
